count,country_1,lin,sum,percentage,month
6,Singapore,B,13,46.15384615384615,2020-01
1,Somalia,B.1,2,50.0,2020-01
1,Somalia,None,2,50.0,2020-01
2,South Africa,B.1.237,49,4.081632653061225,2020-01
4,South Africa,None,49,8.16326530612245,2020-01
5,South Africa,C.1,49,10.204081632653061,2020-01
1,South Africa,B.1.612,49,2.0408163265306123,2020-01
9,South Africa,B.1.351,49,18.367346938775512,2020-01
1,South Africa,B.1.1.99,49,2.0408163265306123,2020-01
3,South Africa,B.1.1.54,49,6.122448979591836,2020-01
1,South Africa,B.1.1.507,49,2.0408163265306123,2020-01
9,South Africa,B.1.1.448,49,18.367346938775512,2020-01
4,South Africa,B.1.1.29,49,8.16326530612245,2020-01
2,South Africa,B.1.1.1,49,4.081632653061225,2020-01
4,South Africa,B.1.1,49,8.16326530612245,2020-01
4,South Africa,B.1,49,8.16326530612245,2020-01
7,South Korea,A,8,87.5,2020-01
1,South Korea,B,8,12.5,2020-01
1,Spain,B.1.1,2,50.0,2020-01
1,Spain,B.1,2,50.0,2020-01
1,Sri Lanka,A,1,100.0,2020-01
1,Sweden,B,1,100.0,2020-01
2,Taiwan,A,7,28.57142857142857,2020-01
3,Taiwan,B,7,42.857142857142854,2020-01
2,Taiwan,B.1.36.10,7,28.57142857142857,2020-01
5,Thailand,B.1.36.10,37,13.513513513513514,2020-01
5,Thailand,None,37,13.513513513513514,2020-01
2,Thailand,B.1.400,37,5.405405405405405,2020-01
1,Thailand,B.1.160,37,2.7027027027027026,2020-01
2,Thailand,B.1.1,37,5.405405405405405,2020-01
1,Thailand,B.1,37,2.7027027027027026,2020-01
14,Thailand,B,37,37.83783783783784,2020-01
6,Thailand,A.6,37,16.216216216216218,2020-01
1,Thailand,B.1.1.284,37,2.7027027027027026,2020-01
1,Togo,A,4,25.0,2020-01
1,Togo,B.1.1,4,25.0,2020-01
1,Togo,B.1.110,4,25.0,2020-01
1,Togo,B.1.9,4,25.0,2020-01
1,USA,B.1.564,108,0.9259259259259258,2020-01
1,USA,B.1.439,108,0.9259259259259258,2020-01
1,USA,B.1.493,108,0.9259259259259258,2020-01
2,USA,B.1.509,108,1.8518518518518516,2020-01
6,USA,B.1.516,108,5.555555555555555,2020-01
1,USA,B.1.552,108,0.9259259259259258,2020-01
1,USA,B.33,108,0.9259259259259258,2020-01
1,USA,B.1.590,108,0.9259259259259258,2020-01
7,USA,B.1.595,108,6.481481481481481,2020-01
2,USA,B.1.390,108,1.8518518518518516,2020-01
3,USA,None,108,2.7777777777777777,2020-01
1,USA,R.1,108,0.9259259259259258,2020-01
1,USA,B.1.568,108,0.9259259259259258,2020-01
2,USA,B.1.369,108,1.8518518518518516,2020-01
1,USA,B.1.356,108,0.9259259259259258,2020-01
1,USA,B.1.359,108,0.9259259259259258,2020-01
10,USA,A,108,9.25925925925926,2020-01
2,USA,A.1,108,1.8518518518518516,2020-01
6,USA,B,108,5.555555555555555,2020-01
30,USA,B.1,108,27.77777777777778,2020-01
2,USA,B.1.1.434,108,1.8518518518518516,2020-01
2,USA,B.1.36.10,108,1.8518518518518516,2020-01
1,USA,B.1.1.518,108,0.9259259259259258,2020-01
1,USA,B.1.110.3,108,0.9259259259259258,2020-01
9,USA,B.1.2,108,8.333333333333332,2020-01
1,USA,B.1.234,108,0.9259259259259258,2020-01
1,USA,B.1.240,108,0.9259259259259258,2020-01
1,USA,B.1.349,108,0.9259259259259258,2020-01
10,USA,B.1.1.7,108,9.25925925925926,2020-01
1,Uganda,B.1.480,3,33.33333333333333,2020-01
1,Uganda,B.1,3,33.33333333333333,2020-01
1,Uganda,B.1.393,3,33.33333333333333,2020-01
1,Ukraine,B.1.1.1,1,100.0,2020-01
4,United Arab Emirates,A,4,100.0,2020-01
1,United Kingdom,B.1.36.10,2975,0.03361344537815126,2020-01
1,United Kingdom,B.1.182,2975,0.03361344537815126,2020-01
1,United Kingdom,B.1.199,2975,0.03361344537815126,2020-01
3,United Kingdom,B.1.2,2975,0.10084033613445378,2020-01
3,United Kingdom,B.1.201,2975,0.10084033613445378,2020-01
5,United Kingdom,B.1.221,2975,0.16806722689075632,2020-01
5,United Kingdom,B.1.223,2975,0.16806722689075632,2020-01
1,United Kingdom,B.1.225,2975,0.03361344537815126,2020-01
1,United Kingdom,B.1.36.16,2975,0.03361344537815126,2020-01
1,United Kingdom,B.1.234,2975,0.03361344537815126,2020-01
36,United Kingdom,B.1.258,2975,1.2100840336134453,2020-01
5,United Kingdom,B.1.258.3,2975,0.16806722689075632,2020-01
10,United Kingdom,B.1.258.4,2975,0.33613445378151263,2020-01
7,United Kingdom,B.1.258.7,2975,0.2352941176470588,2020-01
3,United Kingdom,B.1.351,2975,0.10084033613445378,2020-01
3,United Kingdom,B.1.356,2975,0.10084033613445378,2020-01
3,United Kingdom,B.1.36,2975,0.10084033613445378,2020-01
2,United Kingdom,B.1.236,2975,0.06722689075630252,2020-01
41,United Kingdom,B.1.177.9,2975,1.3781512605042017,2020-01
3,United Kingdom,B.1.177.35,2975,0.10084033613445378,2020-01
33,United Kingdom,B.1.177.82,2975,1.1092436974789917,2020-01
21,United Kingdom,B.1.36.17,2975,0.7058823529411765,2020-01
27,United Kingdom,B.1.177.4,2975,0.9075630252100839,2020-01
1,United Kingdom,B.1.177.40,2975,0.03361344537815126,2020-01
3,United Kingdom,B.1.177.43,2975,0.10084033613445378,2020-01
2,United Kingdom,B.1.177.44,2975,0.06722689075630252,2020-01
5,United Kingdom,B.1.177.47,2975,0.16806722689075632,2020-01
1,United Kingdom,B.1.177.50,2975,0.03361344537815126,2020-01
2,United Kingdom,B.1.177.52,2975,0.06722689075630252,2020-01
13,United Kingdom,B.1.177.87,2975,0.4369747899159664,2020-01
1,United Kingdom,B.1.177.53,2975,0.03361344537815126,2020-01
3,United Kingdom,B.1.177.55,2975,0.10084033613445378,2020-01
8,United Kingdom,B.1.177.56,2975,0.2689075630252101,2020-01
73,United Kingdom,B.1.177.57,2975,2.453781512605042,2020-01
31,United Kingdom,B.1.177.6,2975,1.0420168067226891,2020-01
36,United Kingdom,B.1.177.69,2975,1.2100840336134453,2020-01
42,United Kingdom,B.1.177.7,2975,1.411764705882353,2020-01
4,United Kingdom,B.1.177.8,2975,0.13445378151260504,2020-01
3,United Kingdom,B.1.177.81,2975,0.10084033613445378,2020-01
10,United Kingdom,B.1.177.54,2975,0.33613445378151263,2020-01
2,United Kingdom,B.1.36.2,2975,0.06722689075630252,2020-01
1,United Kingdom,B.1.93,2975,0.03361344537815126,2020-01
63,United Kingdom,B.1.36.39,2975,2.1176470588235294,2020-01
1,United Kingdom,B.29,2975,0.03361344537815126,2020-01
7,United Kingdom,B.3,2975,0.2352941176470588,2020-01
